Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
42,No,Travel_Rarely,850,Sales,5,3,Life Sciences,1,2069,3,Female,75,3,2,Sales Executive,4,Married,6500,12000,3,Y,No,15,3,3,80,1,12,2,3,8,5,2,6
31,Yes,Travel_Frequently,1200,Research & Development,10,4,Medical,1,2070,2,Male,60,2,1,Research Scientist,3,Single,3200,18000,2,Y,Yes,18,4,2,80,0,5,3,2,3,2,1,2
45,No,Non-Travel,950,Human Resources,8,2,Human Resources,1,2071,4,Male,85,3,3,Human Resources,2,Divorced,7800,14000,5,Y,No,12,3,4,80,1,15,4,3,10,7,3,8
28,No,Travel_Rarely,600,Research & Development,12,3,Technical Degree,1,2072,3,Female,70,3,1,Laboratory Technician,4,Single,2800,9000,1,Y,Yes,14,3,3,80,0,4,2,3,3,2,0,2
39,No,Travel_Frequently,1100,Sales,15,4,Marketing,1,2073,2,Male,90,2,2,Sales Executive,3,Married,7200,16000,4,Y,No,16,3,4,80,1,10,3,3,7,5,1,6
33,Yes,Travel_Rarely,700,Research & Development,6,2,Life Sciences,1,2074,1,Female,55,3,1,Research Scientist,2,Single,3500,11000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
47,No,Travel_Rarely,1300,Sales,9,3,Life Sciences,1,2075,4,Male,80,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,17,3,3,80,1,14,3,3,10,8,2,7
29,No,Travel_Frequently,800,Research & Development,7,4,Medical,1,2076,3,Female,65,2,1,Laboratory Technician,3,Divorced,3100,13000,1,Y,No,12,3,4,80,1,5,3,3,4,3,0,3
52,No,Travel_Rarely,1400,Research & Development,3,4,Life Sciences,1,2077,2,Male,95,3,4,Manager,4,Married,15000,22000,6,Y,No,15,3,4,80,0,25,3,3,20,10,5,8
35,Yes,Travel_Rarely,900,Research & Development,11,3,Technical Degree,1,2078,1,Female,60,2,1,Research Scientist,3,Single,2900,10000,2,Y,Yes,14,3,2,80,0,7,2,3,5,3,1,4
